nom_standard,densite
Vaires-sur-Marne,2223.0
Valence-en-Brie,95.0
Vanvillé,25.0
Varennes-sur-Seine,371.0
Varreddes,264.0
Vaucourtois,62.0
Le Vaudoué,43.0
Vaudoy-en-Brie,32.0
Vaux-le-Pénil,946.0
Vaux-sur-Lunain,28.0
Vendrest,39.0
Verdelot,25.0
Verneuil-l'Étang,413.0
Vernou-la-Celle-sur-Seine,117.0
Vert-Saint-Denis,545.0
Vieux-Champagne,21.0
Vignely,89.0
Villebéon,28.0
Villecerf,66.0
Villemaréchal,76.0
Villemareuil,36.0
Villemer,42.0
Villenauxe-la-Petite,21.0
Villeneuve-le-Comte,97.0
Villeneuve-les-Bordes,30.0
Villeneuve-Saint-Denis,188.0
Villeneuve-sous-Dammartin,83.0
Villeneuve-sur-Bellot,119.0
Villenoy,685.0
Villeparisis,3232.0
Villeroy,122.0
Ville-Saint-Jacques,78.0
Villevaudé,213.0
Villiers-en-Bière,22.0
Villiers-Saint-Georges,35.0
Villiers-sous-Grez,54.0
Villiers-sur-Morin,327.0
Villiers-sur-Seine,26.0
Villuis,27.0
Vimpelles,45.0
Vinantes,72.0
Vincy-Manœuvre,56.0
Voinsles,20.0
Voisenon,342.0
Voulangis,156.0
Voulton,12.0
Voulx,129.0
Vulaines-lès-Provins,7.0
Vulaines-sur-Seine,622.0
Yèbles,82.0
Ablis,142.0
Achères,2242.0
Adainville,63.0
Aigremont,359.0
Allainville,17.0
Les Alluets-le-Roi,171.0
Andelu,126.0
Andrésy,1912.0
Arnouville-lès-Mantes,95.0
Aubergenville,1355.0
Auffargis,114.0
Auffreville-Brasseuil,280.0
Aulnay-sur-Mauldre,510.0
Auteuil,227.0
Autouillet,124.0
Bailly,551.0
Bazainville,122.0
Bazemont,252.0
Bazoches-sur-Guyonne,120.0
Béhoust,91.0
Bennecourt,266.0
Beynes,409.0
Blaru,59.0
Boinville-en-Mantois,58.0
Boinville-le-Gaillard,48.0
Boinvilliers,68.0
Bois-d'Arcy,2751.0
Boissets,72.0
La Boissière-École,30.0
Boissy-Mauvoisin,123.0
Boissy-sans-Avoir,154.0
Bonnelles,197.0
Bonnières-sur-Seine,635.0
Bouafle,318.0
Bougival,3260.0
Bourdonné,46.0
Breuil-Bois-Robert,200.0
Bréval,166.0
Les Bréviaires,66.0
Brueil-en-Vexin,92.0
Buc,736.0
Buchelay,676.0
Bullion,90.0
Carrières-sous-Poissy,2530.0
Carrières-sur-Seine,2960.0
La Celle-les-Bordes,36.0
La Celle-Saint-Cloud,3488.0
Cernay-la-Ville,153.0
Chambourcy,720.0
Chanteloup-les-Vignes,3148.0
Chapet,259.0
Châteaufort,309.0
Chatou,5848.0
Chaufour-lès-Bonnières,155.0
Chavenay,285.0
Le Chesnay-Rocquencourt,7192.0
Chevreuse,407.0
Choisel,60.0
Civry-la-Forêt,38.0
Clairefontaine-en-Yvelines,49.0
Les Clayes-sous-Bois,2830.0
Coignières,544.0
Condé-sur-Vesgre,115.0
Conflans-Sainte-Honorine,3629.0
Courgent,191.0
Cravent,68.0
Crespières,114.0
Croissy-sur-Seine,3050.0
Dammartin-en-Serve,101.0
Dampierre-en-Yvelines,88.0
Dannemarie,65.0
Davron,47.0
Drocourt,144.0
Ecquevilly,364.0
Élancourt,2814.0
Émancé,73.0
Épône,493.0
Les Essarts-le-Roi,346.0
L'Étang-la-Ville,873.0
Évecquemont,305.0
La Falaise,205.0
Favrieux,50.0
Feucherolles,229.0
Flacourt,43.0
Flexanville,65.0
Flins-Neuve-Église,131.0
Flins-sur-Seine,276.0
Follainville-Dennemont,223.0
Fontenay-le-Fleury,2416.0
Fontenay-Mauvoisin,130.0
Fontenay-Saint-Père,73.0
Freneuse,408.0
Gaillon-sur-Montcient,135.0
Galluis,278.0
Gambais,107.0
Gambaiseuil,3.0
Garancières,242.0
Gargenville,909.0
Gazeran,50.0
Gommecourt,112.0
Goupillières,97.0
Goussonville,137.0
Grandchamp,48.0
Gressey,76.0
Grosrouvre,71.0
Guernes,124.0
Guerville,210.0
Guitrancourt,85.0
Guyancourt,2219.0
Hardricourt,736.0
Hargeville,62.0
La Hauteville,33.0
Herbeville,37.0
Hermeray,51.0
Houdan,356.0
Houilles,7500.0
Issou,823.0
Jambville,158.0
Notre-Dame-de-la-Mer,195.0
Jouars-Pontchartrain,595.0
Jouy-en-Josas,774.0
Jouy-Mauvoisin,198.0
Jumeauville,80.0
Juziers,455.0
Lainville-en-Vexin,103.0
Lévis-Saint-Nom,191.0
Limay,1527.0
Limetz-Villez,214.0
Les Loges-en-Josas,661.0
Lommoye,67.0
Longnes,110.0
Longvilliers,36.0
Louveciennes,1388.0
Magnanville,1441.0
Magny-les-Hameaux,562.0
Maisons-Laffitte,3330.0
Mantes-la-Jolie,4693.0
Mantes-la-Ville,3426.0
Marcq,162.0
Mareil-le-Guyon,99.0
Mareil-Marly,2162.0
Mareil-sur-Mauldre,393.0
Marly-le-Roi,2482.0
Maule,347.0
Maulette,132.0
Maurecourt,1174.0
Maurepas,2205.0
Médan,454.0
Ménerville,62.0
Méré,158.0
Méricourt,153.0
Le Mesnil-le-Roi,1686.0
Le Mesnil-Saint-Denis,764.0
Les Mesnuls,133.0
Meulan-en-Yvelines,2628.0
Mézières-sur-Seine,354.0
Mézy-sur-Seine,476.0
Millemont,49.0
Milon-la-Chapelle,94.0
Mittainville,60.0
Moisson,93.0
Mondreville,89.0
Montainville,111.0
Montalet-le-Bois,105.0
Montchauvet,37.0
Montesson,1972.0
Montfort-l'Amaury,500.0
Montigny-le-Bretonneux,2962.0
Morainvilliers,413.0
Mousseaux-sur-Seine,95.0
Mulcent,30.0
Les Mureaux,2745.0
Neauphle-le-Château,1518.0
Neauphle-le-Vieux,119.0
Neauphlette,88.0
Nézel,814.0
Noisy-le-Roi,1365.0
Oinville-sur-Montcient,286.0
Orcemont,94.0
Orgerus,171.0
Orgeval,449.0
Orphin,53.0
Orsonville,34.0
Orvilliers,159.0
Osmoy,156.0
Paray-Douaville,22.0
Le Pecq,5516.0
Perdreauville,58.0
Le Perray-en-Yvelines,485.0
Plaisir,1779.0
Poigny-la-Forêt,38.0
Poissy,3097.0
Ponthévrard,266.0
Porcheville,684.0
Le Port-Marly,3894.0
Prunay-le-Temple,61.0
Prunay-en-Yvelines,31.0
La Queue-les-Yvelines,412.0
Raizeux,97.0
Rambouillet,747.0
Rennemoulin,50.0
Richebourg,147.0
Rochefort-en-Yvelines,69.0
Rolleboise,118.0
Rosay,83.0
Rosny-sur-Seine,360.0
Sailly,62.0
Saint-Arnoult-en-Yvelines,463.0
Saint-Cyr-l'École,4104.0
Saint-Forget,74.0
Saint-Germain-de-la-Grange,346.0
Saint-Germain-en-Laye,898.0
Saint-Hilarion,68.0
Saint-Illiers-la-Ville,55.0
Saint-Illiers-le-Bois,95.0
Saint-Lambert,68.0
Saint-Léger-en-Yvelines,40.0
Saint-Martin-de-Bréthencourt,41.0
Saint-Martin-des-Champs,49.0
Saint-Martin-la-Garenne,58.0
Sainte-Mesme,109.0
Saint-Nom-la-Bretèche,413.0
Saint-Rémy-lès-Chevreuse,786.0
Saint-Rémy-l'Honoré,163.0
Sartrouville,6062.0
Saulx-Marchais,439.0
Senlisse,62.0
Septeuil,240.0
Soindres,137.0
Sonchamp,35.0
Tacoignières,356.0
Le Tartre-Gaudran,9.0
Le Tertre-Saint-Denis,42.0
Tessancourt-sur-Aubette,224.0
Thiverval-Grignon,105.0
Thoiry,202.0
Tilly,67.0
Toussus-le-Noble,288.0
Trappes,2461.0
Le Tremblay-sur-Mauldre,158.0
Triel-sur-Seine,901.0
Vaux-sur-Seine,604.0
Vélizy-Villacoublay,2535.0
Verneuil-sur-Seine,1658.0
Vernouillet,1492.0
La Verrière,2944.0
Versailles,3207.0
Vert,227.0
Le Vésinet,3117.0
Vicq,85.0
Vieille-Église-en-Yvelines,63.0
La Villeneuve-en-Chevrie,56.0
Villennes-sur-Seine,1121.0
Villepreux,1071.0
Villette,114.0
Villiers-le-Mahieu,124.0
Villiers-Saint-Frédéric,605.0
Viroflay,4860.0
Voisins-le-Bretonneux,2962.0
Abbéville-la-Rivière,22.0
Angerville,170.0
Angervilliers,190.0
Arpajon,4740.0
Arrancourt,16.0
Athis-Mons,4207.0
Authon-la-Plaine,36.0
Auvernaux,50.0
Auvers-Saint-Georges,100.0
Avrainville,111.0
Ballainvilliers,1191.0
Ballancourt-sur-Essonne,682.0
Baulne,173.0
Bièvres,490.0
Blandy,14.0
Boigneville,24.0
Bois-Herpin,21.0
Boissy-la-Rivière,41.0
Boissy-le-Cutté,295.0
Boissy-le-Sec,36.0
Boissy-sous-Saint-Yon,470.0
